range_m,range_km,altitude_m,altitude_km,mach,segment
8762592.953738112,8762.592953738113,29961.867099781088,29.961867099781088,4.874369386427302,descent
8775252.066972839,8775.252066972838,29932.208177388602,29.932208177388603,4.8326730341768,descent
8787801.577495579,8787.801577495578,29894.07527716969,29.89407527716969,4.7910631869649505,descent
8800241.485306326,8800.241485306326,29847.468399124355,29.847468399124356,4.749537615763119,descent
8812571.790405089,8812.571790405089,29792.387543252597,29.792387543252598,4.708094106556304,descent
8824792.492791861,8824.792492791861,29728.83270955441,29.728832709554407,4.666730459829529,descent
8836903.592466643,8836.903592466642,29656.8038980298,29.6568038980298,4.625444490065333,descent
8848905.089429436,8848.905089429436,29576.301108678766,29.576301108678766,4.584234025252384,descent
8860796.98368024,8860.79698368024,29487.324341501306,29.487324341501306,4.543096906405228,descent
8872579.275219059,8872.57927521906,29389.873596497422,29.389873596497424,4.502030987095257,descent
8884251.964045884,8884.251964045885,29283.948873667116,29.283948873667114,4.461034132992989,descent
8895815.050160721,8895.815050160722,29169.55017301038,29.16955017301038,4.420104221421815,descent
8907268.533563571,8907.26853356357,29046.677494527223,29.046677494527223,4.379239140923387,descent
8918612.41425443,8918.61241425443,28915.33083821764,28.91533083821764,4.3384367908348835,descent
8929846.692233302,8929.846692233301,28775.51020408163,28.77551020408163,4.29769508087846,descent
8940971.367500184,8940.971367500184,28627.215592119202,28.627215592119203,4.257011930763155,descent
8951986.440055078,8951.986440055078,28470.447002330344,28.470447002330342,4.216385269799707,descent
8962891.909897981,8962.89190989798,28305.204434715062,28.305204434715062,4.1758130365287,descent
8973687.777028896,8973.687777028896,28131.487889273358,28.13148788927336,4.135293178362552,descent
8984374.041447822,8984.374041447822,27949.297366005223,27.949297366005222,4.094823651241962,descent
8994950.70315476,8994.95070315476,27758.63286491067,27.75863286491067,4.054402419307448,descent
9005417.762149706,9005.417762149706,27559.49438598969,27.559494385989687,4.014027454586764,descent
9015775.218432665,9015.775218432665,27351.881929242285,27.351881929242285,3.973696736699022,descent
9026023.072003637,9026.023072003636,27135.795494668455,27.135795494668454,3.9334082525764797,descent
9036161.322862618,9036.161322862617,26911.235082268202,26.911235082268202,3.8931599962050476,descent
9046189.971009608,9046.189971009608,26678.200692041522,26.67820069204152,3.85294996838471,descent
9056109.016444612,9056.109016444612,26436.69232398842,26.43669232398842,3.812776176511162,descent
9065918.459167626,9065.918459167626,26186.70997810889,26.18670997810889,3.7726366343801607,descent
9075618.299178652,9075.618299178652,25928.253654402935,25.928253654402937,3.7325293620161752,descent
9085208.536477687,9085.208536477687,25661.32335287056,25.66132335287056,3.6924523855271905,descent
9094689.171064734,9094.689171064734,25385.91907351176,25.385919073511758,3.6524037369876496,descent
9104060.202939793,9104.060202939794,25102.04081632653,25.102040816326532,3.6123814543517514,descent
9113321.63210286,9113.32163210286,24809.68858131488,24.80968858131488,3.61181984964325,descent
9122473.458553942,9122.473458553943,24508.862368476803,24.5088623684768,3.5689766552528304,descent
9131515.682293033,9131.515682293033,24199.5621778123,24.1995621778123,3.526139813344719,descent
9140448.303320136,9140.448303320136,23881.788009321375,23.881788009321376,3.4833095582824884,descent
9149271.321635248,9149.271321635248,23555.53986300402,23.55553986300402,3.4404861360630297,descent
9157984.737238372,9157.984737238372,23220.81773886025,23.220817738860248,3.3976698050449303,descent
9166588.550129509,9166.588550129509,22877.62163689005,22.877621636890048,3.354860836732062,descent
9175082.760308655,9175.082760308655,22525.951557093424,22.525951557093425,3.312059516617328,descent
