gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,35100.0,0.8056825749028158,322.0153514109871
5,25000.0,35200.0,0.8047529155479286,322.4737364848966
5,25000.0,35300.0,0.8038245001483997,322.93147090477186
5,25000.0,35400.0,0.8028973268106714,323.38855743348205
5,25000.0,35500.0,0.8019713936444166,323.84499881439814
5,25000.0,35600.0,0.8010466987625345,324.30079777158517
5,25000.0,35700.0,0.8001232402811386,324.7559570099917
5,25000.0,35800.0,0.7992010163195625,325.21047921563746
5,25000.0,35900.0,0.7982800250003398,325.6643670557981
5,25000.0,36000.0,0.7973602644492049,326.11762317918755
5,25000.0,36100.0,0.796441732795093,326.5702502161389
5,25000.0,36200.0,0.7955244281701199,327.022250778782
5,25000.0,36300.0,0.7946083487095889,327.4736274612195
5,25000.0,36400.0,0.7936934925519775,327.9243828397007
5,25000.0,36500.0,0.7927798578389358,328.3745194727928
5,25000.0,36600.0,0.7918674427152733,328.82403990155075
5,25000.0,36700.0,0.7909562453289658,329.27294664968394
5,25000.0,36800.0,0.790046263831134,329.72124222372236
5,25000.0,36900.0,0.7891374963760496,330.16892911317933
5,25000.0,37000.0,0.7882299411211235,330.6160097907127
5,25000.0,37100.0,0.7873235962269028,331.0624867122847
5,25000.0,37200.0,0.7864184598570588,331.50836231731876
5,25000.0,37300.0,0.7855145301783935,331.95363902885543
5,25000.0,37400.0,0.784611805360818,332.398319253706
5,25000.0,37500.0,0.7837102835773593,332.84240538260394
5,25000.0,37600.0,0.7828099630041482,333.2858997903552
5,25000.0,37700.0,0.7819108418204164,333.7288048359861
5,25000.0,37800.0,0.7810129182084846,334.17112286288994
5,25000.0,37900.0,0.780116190353769,334.6128561989717
5,25000.0,38000.0,0.7792206564447604,335.0540071567906
5,25000.0,38100.0,0.7783263146730295,335.49457803370194
5,25000.0,38200.0,0.7774331632332169,335.9345711119961
5,25000.0,38300.0,0.7765412003230283,336.3739886590367
5,25000.0,38400.0,0.7756504241432248,336.81283292739715
5,25000.0,38500.0,0.7747608328976274,337.25110615499506
5,25000.0,38600.0,0.7738724247930971,337.68881056522554
5,25000.0,38700.0,0.7729851980395411,338.1259483670926
5,25000.0,38800.0,0.7720991508499011,338.5625217553396
5,25000.0,38900.0,0.7712142814401501,338.9985329105773
5,25000.0,39000.0,0.770330588029283,339.43398399941157
5,25000.0,39100.0,0.7694480688393157,339.8688771745683
5,25000.0,39200.0,0.768566722095277,340.3032145750181
5,25000.0,39300.0,0.7676865460252031,340.7369983260988
5,25000.0,39400.0,0.766807538860132,341.17023053963663
5,25000.0,39500.0,0.7659296988340986,341.6029133140667
5,25000.0,39600.0,0.7650530241841258,342.0350487345512
5,25000.0,39700.0,0.7641775131502246,342.46663887309643
5,25000.0,39800.0,0.7633031639753839,342.8976857886691
5,25000.0,39900.0,0.762429974905568,343.3281915273109
5,25000.0,40000.0,0.761557944189705,343.7581581222515
5,25000.0,40100.0,0.7606870700796928,344.18758759402095
5,25000.0,40200.0,0.7598173508303795,344.61648195056034
5,25000.0,40300.0,0.7589487846995688,345.0448431873311
5,25000.0,40400.0,0.7580813699480103,345.4726732874235
5,25000.0,40500.0,0.7572151048393913,345.8999742216641
5,25000.0,40600.0,0.7563499876403367,346.326747948721
5,25000.0,40700.0,0.7554860166204005,346.75299641520894
5,25000.0,40800.0,0.7546231900520616,347.1787215557931
5,25000.0,40900.0,0.7537615062107131,347.6039252932911
5,25000.0,41000.0,0.7529009633746687,348.0286095387748
5,25000.0,41100.0,0.7520415598251422,348.4527761916698
5,25000.0,41200.0,0.7511832938462543,348.87642713985554
